frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
205,7277.1,11,381,568,34.24474759,51.05253709,-38.79967424,7.207421784,22.45347551,-8.141527379,9,671,619,60.3103035,55.63647968,31.31776392,9.146521498,-20.10896048,-7.278403048,,,,,,,,,
206,7313.1,10,367,571,32.98641041,51.32218077,-40.44791422,7.240063002,32.18879348,-16.43756085,9,682,622,61.298997,55.90612336,32.33766597,9.224572125,-12.92356037,5.470035908,,,,,,,,,
207,7344.5,11,353,573,31.72807322,51.50194322,-38.52600036,6.324859393,6.410843148,-3.046676886,9,694,626,62.37757172,56.26564827,31.09157391,9.076716561,-7.167933195,-3.504594254,,,,,,,,,
208,7412.1,10,325,578,29.21139886,51.95134936,-37.48667319,6.951117902,-3.00160813,4.34443282,9,716,632,64.35495872,56.80493563,31.28003056,8.830797978,19.54994769,2.601017572,,,,,,,,,
209,7444.4,10,311,580,27.95306168,52.13111181,-38.04555714,6.242385951,4.404612246,1.240652236,9,728,636,65.43353345,57.16446054,31.50755047,8.743860817,0.27899835,-12.79237114,,,,,,,,,
210,7476.6,10,297,582,26.6947245,52.31087427,-37.62889323,6.675228736,7.171399508,8.35128466,9,739,639,66.42222695,57.43410422,31.36741396,8.860824394,11.34416407,0.23597703,,,,,,,,,
211,7512.4,11,283,586,25.43638732,52.67039918,-37.6937442,6.279602329,-1.127424978,-17.73457386,9,752,642,67.5906829,57.7037479,31.85884437,8.974701001,-8.008296469,0.268434519,,,,,,,,,
212,7544.2,10,269,587,24.17805013,52.76028041,-37.76917008,6.29486168,1.134206473,-0.189034412,9,763,645,68.5793764,57.97339159,31.92259181,8.541676996,8.03846334,8.740591156,,,,,,,,,
213,7577.9,10,255,590,22.91971295,53.02992409,-37.7430309,6.728601267,-9.424857877,-7.297532813,9,775,649,69.65795113,58.3329165,32.35116934,8.525888453,8.078449609,-6.848730057,,,,,,,,,
214,7612.4,11,241,592,21.66137577,53.20968654,-37.31893782,5.845655155,8.623552589,9.055630381,9,787,652,70.73652586,58.60256018,32.37434444,8.992623537,18.31829804,0.090016207,,,,,,,,,
215,7644.3,11,227,594,20.40303859,53.389449,-37.90567201,6.513622364,-3.861517658,4.559877235,9,799,655,71.81510059,58.87220386,32.78459155,8.927154821,9.184308716,-1.038736513,,,,,,,,,
216,7676.7,10,213,597,19.14470141,53.65909268,-37.74938098,6.198433972,9.296313754,-3.434598678,9,811,658,72.89367531,59.14184754,32.63600084,8.368541641,-2.312629776,3.663571923,,,,,,,,,
217,7712.3,11,200,599,17.97624545,53.83885513,-37.69110981,6.22094356,-16.0744433,-1.542348992,9,824,662,74.06213127,59.50137245,33.30018181,8.928867385,0.216984459,-1.366415647,,,,,,,,,
218,7776.2,11,171,604,15.36968986,54.28826127,-37.27276331,6.493161255,13.45831366,-4.870129067,9,848,668,76.21928072,60.04065981,33.18308057,8.896639773,-3.142018753,0.576036771,,,,,,,,,
219,7812.3,11,157,606,14.11135268,54.46802372,-36.92279684,5.630042276,2.895192728,-4.948759663,9,860,671,77.29785545,60.3103035,33.40361265,8.820073352,13.63433785,2.996187823,,,,,,,,,
220,7844.5,11,143,608,12.8530155,54.64778618,-37.60928993,6.206486819,17.31226302,1.323638837,9,873,675,78.4663114,60.6698284,33.22471937,8.398772097,-1.358624885,-6.653180232,,,,,,,,,
221,7876.9,11,130,611,11.68455954,54.91742986,-36.9851636,5.794390163,-7.746303558,-9.008144862,9,885,678,79.54488613,60.93947209,33.42020079,8.468112273,7.851457,-9.087009944,,,,,,,,,
222,7912.5,11,116,612,10.42622236,55.00731109,-36.83305232,5.390202778,-1.103884925,0.161544135,9,898,681,80.71334208,61.20911577,33.68742049,8.983671297,-7.969510677,0.269240226,,,,,,,,,
