frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
71,2349.1,13,472,222,,,,,,,12,280,450,,,,,,,,,,,,,,,,15,509,640,,,,,,
72,2384,12,454,223,,,,,,,12,286,468,,,,,,,,,,,,,,,,15,531,637,,,,,,
73,2416.2,13,438,226,,,,,,,12,292,485,,,,,,,,,,,,,,,,15,553,631,,,,,,
74,2448.5,13,423,230,,,,,,,12,302,502,,,,,,,,,,,,,,,,15,575,623,,,,,,
75,2484.1,13,409,237,,,,,,,12,313,518,,,,,,,,,,,,,,,,15,596,614,,,,,,
76,2516,13,395,245,,,,,,,12,326,534,,,,,,,,,,,,,,,,14,616,603,,,,,,
77,2548.3,13,382,255,,,,,,,12,340,548,,,,,,,,,,,,,,,,15,636,590,,,,,,
78,2584.1,13,372,265,,,,,,,12,356,562,,,,,,,,,,,,,,,,15,655,576,,,,,,
79,2616.1,13,362,278,,,,,,,12,374,574,,,,,,,,,,,,,,,,15,673,561,,,,,,
80,2648.7,13,354,291,,,,,,,12,392,585,,,,,,,,,,,,,,,,15,689,544,,,,,,
81,2684,13,347,305,,,,,,,12,412,594,,,,,,,,,,,,,,,,15,703,526,,,,,,
82,2715.9,13,342,321,,,,,,,12,433,602,,,,,,,,,,,,,,,,15,717,507,,,,,,
83,2748,13,338,337,,,,,,,11,455,608,,,,,,,,,,,,,,,,15,728,487,,,,,,
84,2784.3,13,337,354,,,,,,,12,477,613,,,,,,,,,,,,,,,,15,740,467,,,,,,
85,2816,13,337,371,,,,,,,11,501,616,,,,,,,,,,,,,,,,15,749,446,,,,,,
86,2848.1,13,339,388,,,,,,,12,525,617,,,,,,,,,,,,,,,,15,756,424,,,,,,
87,2884.4,13,343,406,,,,,,,12,548,615,,,,,,,,,,,,,,,,15,761,402,,,,,,
88,2916,13,349,423,,,,,,,12,573,613,,,,,,,,,,,,,,,,15,765,381,,,,,,
89,2948.3,13,357,441,,,,,,,12,598,609,,,,,,,,,,,,,,,,15,768,360,,,,,,
90,2984.1,13,366,458,,,,,,,12,620,602,,,,,,,,,,,,,,,,15,767,339,,,,,,
91,3016.8,13,377,473,,,,,,,12,643,595,,,,,,,,,,,,,,,,15,766,318,,,,,,
92,3048.2,13,390,490,,,,,,,12,667,585,,,,,,,,,,,,,,,,16,763,298,,,,,,
93,3083.8,13,405,504,,,,,,,12,690,574,,,,,,,,,,,,,,,,15,759,280,,,,,,
94,3116.1,13,420,518,,,,,,,12,712,562,,,,,,,,,,,,,,,,15,753,262,,,,,,
95,3148.6,13,438,531,,,,,,,12,732,547,,,,,,,,,,,,,,,,15,745,245,,,,,,
96,3184.5,13,457,543,,,,,,,12,752,532,,,,,,,,,,,,,,,,15,738,230,,,,,,
97,3216.2,12,475,553,,,,,,,11,771,515,,,,,,,,,,,,,,,,14,728,216,,,,,,
